Time,T-in,H-in,T-out,H-out,CO2,Smoke
2025-04-03 20:46,27,42,26,44,0,0
2025-04-03 20:46,27,42,26,44,0,0
2025-04-03 20:46,27,42,26,44,0,0
2025-04-03 20:46,27,42,26,44,0,0
2025-04-03 20:46,27,42,26,44,0,0
2025-04-03 20:46,27,42,26,44,0,0
2025-04-03 20:46,27,42,26,44,0,0
2025-04-03 20:47,27,42,26,45,0,0
2025-04-03 20:47,27,43,26,46,0,0
2025-04-03 20:47,27,43,26,56,0,0
2025-04-03 20:47,27,43,26,56,0,0
2025-04-03 20:47,27,43,26,65,0,0
2025-04-03 20:47,26,43,26,74,0,0
2025-04-03 20:47,26,43,26,74,0,0
2025-04-03 20:47,26,43,26,73,0,0
2025-04-03 20:47,26,43,26,73,0,0
2025-04-03 20:47,26,43,26,60,0,0
2025-04-03 20:47,26,43,26,60,0,0
2025-04-03 20:47,26,44,27,50,0,0
2025-04-03 20:47,26,47,27,48,0,0
2025-04-03 20:47,26,47,27,48,0,0
2025-04-03 20:47,26,59,27,47,0,0
2025-04-03 20:47,26,59,27,47,0,0
2025-04-03 20:47,26,68,27,46,0,0
2025-04-03 20:47,26,68,27,46,0,0
2025-04-03 20:47,26,70,27,45,0,0
2025-04-03 20:47,26,61,27,45,0,0
2025-04-03 20:47,26,61,27,45,0,0
2025-04-03 20:47,26,55,27,44,0,0
