Time,T-in,H-in,CO2,Smoke
2025-03-11 18:17:32.490,25,44.00,-1,61.00
2025-03-11 18:17:34.492,23,47.00,2101,66.00
2025-03-11 18:17:36.528,23,47.00,2095,67.00
2025-03-11 18:17:38.564,23,47.00,2095,69.00
2025-03-11 18:17:42.631,23,47.00,2091,70.00
2025-03-11 18:17:44.663,23,47.00,2091,70.00
2025-03-11 18:17:46.698,23,47.00,2091,71.00
2025-03-11 18:17:48.734,23,47.00,2091,72.00
2025-03-11 18:17:52.801,23,47.00,2091,72.00
2025-03-11 18:17:54.837,23,47.00,2091,72.00
2025-03-11 18:17:56.872,23,47.00,2091,73.00
2025-03-11 18:17:58.903,23,47.00,2091,81.00
2025-03-11 18:18:02.971,23,47.00,2091,74.00
2025-03-11 18:18:05.007,23,47.00,2091,73.00
2025-03-11 18:18:07.041,23,47.00,2089,74.00
2025-03-11 18:18:09.078,23,47.00,2089,77.00
2025-03-11 18:18:13.145,23,47.00,2088,74.00
2025-03-11 18:18:15.177,23,47.00,2088,74.00
2025-03-11 18:18:17.212,23,58.00,2112,74.00
2025-03-11 18:18:19.247,23,68.00,2112,74.00
2025-03-11 18:18:23.314,23,76.00,2159,75.00
2025-03-11 18:18:25.350,24,76.00,2159,74.00
2025-03-11 18:18:27.386,24,68.00,2225,75.00
